Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
Porsche 911,2019-05,Kabrioletas,117 000 €,Benzinas,Mechaninė,"3.0 l.,",21 000 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-0-l-kabrioletas-2019-benzinas-28568871.html
Porsche 911,2020,Kabrioletas,119 000 €,Benzinas,Automatinė,"3.0 l., 331 kW",51 000 km,Kaunas,https://autoplius.lt/skelbimai/porsche-911-3-0-l-kabrioletas-2020-benzinas-26341582.html
Porsche 911,2025-05,Kupė (Coupe),169 900 €,Benzinas,Automatinė,"4.0 l., 375 kW",13 300 km,Šiauliai,https://autoplius.lt/skelbimai/porsche-911-4-0-l-kupe-coupe-2025-benzinas-29500804.html
Porsche 911,2005,Kabrioletas,41 911 €,Benzinas,Mechaninė,"3.8 l., 284 kW",46 100 km,Marijampolė,https://autoplius.lt/skelbimai/porsche-911-3-8-l-kabrioletas-2005-benzinas-28317908.html
Porsche 911,2016-12,Kupė (Coupe),56 000 €,Benzinas,Automatinė,"3.4 l., 257 kW",80 000 km,Tauragė,https://autoplius.lt/skelbimai/porsche-911-3-4-l-kupe-coupe-2016-benzinas-29555133.html
Porsche 911,2022-05,Kabrioletas,108 900 €,Benzinas,Automatinė,"3.0 l., 283 kW",52 500 km,"Rīga, Latvija",https://autoplius.lt/skelbimai/porsche-911-3-0-l-kabrioletas-2022-benzinas-29593895.html
Porsche 911,2020-07,Kupė (Coupe),118 500 €,Benzinas,Automatinė,"3.0 l., 331 kW",45 100 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-0-l-kupe-coupe-2020-benzinas-30009217.html
Porsche 911,2000-12,Kupė (Coupe),17 990 €,Benzinas,Automatinė,"3.4 l., 221 kW",106 678 km,Kaunas,https://autoplius.lt/skelbimai/porsche-911-3-4-l-kupe-coupe-2000-benzinas-30007647.html
Porsche 911,2002,Kabrioletas,25 000 €,Benzinas,Mechaninė,"3.6 l., 235 kW",130 000 km,Alytus,https://autoplius.lt/skelbimai/porsche-911-3-6-l-kabrioletas-2002-benzinas-29852194.html
Porsche 911,2006-09,Kabrioletas,34 500 €,Benzinas,Automatinė,"3.8 l., 261 kW",123 000 km,Kaunas,https://autoplius.lt/skelbimai/porsche-911-3-8-l-kabrioletas-2006-benzinas-28400108.html
Porsche 911,2007,Kabrioletas,38 699 €,Benzinas,Mechaninė,"3.6 l., 239 kW",91 500 km,Ukmergė,https://autoplius.lt/skelbimai/porsche-911-3-6-l-kabrioletas-2007-benzinas-29318710.html
Porsche 911,2014,Kabrioletas,56 999 €,Benzinas,Automatinė,"3.4 l., 257 kW",134 000 km,Palanga,https://autoplius.lt/skelbimai/porsche-911-3-4-l-kabrioletas-2014-benzinas-29711797.html
Porsche 911,2013-07,Kupė (Coupe),59 999 €,Benzinas,Automatinė,"3.8 l., 294 kW",157 000 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-8-l-kupe-coupe-2013-benzinas-29070747.html
Porsche 911,2012-03,Kupė (Coupe),67 222 €,Benzinas,Automatinė,"3.8 l., 300 kW",85 000 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-8-l-kupe-coupe-2012-benzinas-29782241.html
Porsche 911,2008,Kupė (Coupe),70 000 €,Benzinas,Automatinė,"3.6 l., 353 kW",129 000 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-6-l-kupe-coupe-2008-benzinas-28993787.html
Porsche 911,2016-07,Kabrioletas,75 000 €,Benzinas,Automatinė,"3.8 l., 294 kW",88 000 km,Kaunas,https://autoplius.lt/skelbimai/porsche-911-3-8-l-kabrioletas-2016-benzinas-29632405.html
Porsche 911,2014-03,Kupė (Coupe),77 990 €,Benzinas,Automatinė,"3.8 l., 382 kW",123 873 km,"Rīga, Latvija",https://autoplius.lt/skelbimai/porsche-911-3-8-l-kupe-coupe-2014-benzinas-28706367.html
Porsche 911,2008-02,Kabrioletas,82 900 €,Benzinas,Automatinė,"3.6 l., 353 kW",61 305 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-6-l-kabrioletas-2008-benzinas-26070494.html
Porsche 911,2016-03,Kabrioletas,85 000 €,Benzinas,Automatinė,"3.8 l., 294 kW",60 000 km,Kaunas,https://autoplius.lt/skelbimai/porsche-911-3-8-l-kabrioletas-2016-benzinas-29411892.html
Porsche 911,2014-06,Kabrioletas,85 000 €,Benzinas,Automatinė,"3.8 l., 294 kW",47 000 km,Kaunas,https://autoplius.lt/skelbimai/porsche-911-3-8-l-kabrioletas-2014-benzinas-29550995.html
Porsche 911,2021,Kabrioletas,114 000 €,Benzinas,Automatinė,"3.0 l., 331 kW",38 000 km,Kaunas,https://autoplius.lt/skelbimai/porsche-911-3-0-l-kabrioletas-2021-benzinas-28668267.html
Porsche 911,2020-05,Kabrioletas,119 999 €,Benzinas,Automatinė,"3.0 l., 331 kW",47 000 km,Vilnius,https://autoplius.lt/skelbimai/porsche-911-3-0-l-kabrioletas-2020-benzinas-29870564.html
