Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
BMW 525,2007-06,Sedanas,3 200 €,Dyzelinas,Mechaninė,"3.0 l., 145 kW",479 610 km,Kretinga,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2007-dyzelinas-30048541.html
BMW 525,2007,Universalas,3 200 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",385 605 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2007-dyzelinas-29592003.html
BMW 525,2008,Universalas,3 400 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",360 477 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2008-dyzelinas-28434822.html
BMW 525,2006-03,Sedanas,3 700 €,Benzinas,Automatinė,"2.5 l., 160 kW",247 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-5-l-sedanas-2006-benzinas-30005029.html
BMW 525,2008-07,Universalas,4 250 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",321 000 km,Prienai,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2008-dyzelinas-29991415.html
BMW 525,2008-07,Universalas,4 250 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",279 563 km,Marijampolė,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2008-dyzelinas-26872771.html
BMW 525,2007-10,Universalas,4 600 €,Dyzelinas,Mechaninė,"3.0 l., 145 kW",361 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2007-dyzelinas-30024219.html
BMW 525,2008-04,Universalas,4 999 €,Dyzelinas,Automatinė,"3.0 l., 230 kW",400 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2008-dyzelinas-30010277.html
BMW 525,2011-08,Sedanas,5 000 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",194 947 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2011-dyzelinas-29745159.html
BMW 525,2007-12,Sedanas,5 100 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",313 210 km,Kaišiadorys,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2007-dyzelinas-30048473.html
BMW 525,2008-04,Sedanas,6 350 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",425 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2008-dyzelinas-30027597.html
BMW 525,2009-03,Universalas,6 500 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",291 500 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2009-dyzelinas-30029321.html
BMW 525,2011-11,Universalas,6 999 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",320 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2011-dyzelinas-30041745.html
BMW 525,2012-04,Universalas,7 100 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",299 500 km,Elektrėnai,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2012-dyzelinas-29995639.html
BMW 525,2010-07,Sedanas,7 150 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",372 000 km,Marijampolė,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2010-dyzelinas-30001967.html
BMW 525,2012-03,Sedanas,7 300 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",324 000 km,Pakruojis,https://autoplius.lt/skelbimai/bmw-525-2-0-l-sedanas-2012-dyzelinas-29871006.html
BMW 525,2010,Sedanas,7 700 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",287 033 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2010-dyzelinas-27958503.html
BMW 525,2010-09,Sedanas,7 799 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",235 600 km,Raseiniai,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2010-dyzelinas-30040897.html
BMW 525,2011-03,Universalas,8 499 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",296 711 km,Raseiniai,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2011-dyzelinas-29960169.html
BMW 525,2012,Universalas,8 500 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",303 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2012-dyzelinas-30031939.html
BMW 525,2011-10,Sedanas,8 500 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",326 600 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2011-dyzelinas-29963891.html
