Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
BMW 525,2014-01,Sedanas,7 800 €,Dyzelinas,Mechaninė,"2.0 l., 160 kW",270 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-0-l-sedanas-2014-dyzelinas-29766495.html
BMW 525,2012-12,Universalas,7 900 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",259 000 km,Šiauliai,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2012-dyzelinas-29837368.html
BMW 525,2012-01,Sedanas,8 500 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",275 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-0-l-sedanas-2012-dyzelinas-28692583.html
BMW 525,2014-07,Universalas,8 550 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",257 339 km,Birštonas,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2014-dyzelinas-30027587.html
BMW 525,2012-09,Universalas,8 600 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",349 700 km,Raseiniai,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2012-dyzelinas-29793123.html
BMW 525,2014-08,Sedanas,8 700 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",267 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-0-l-sedanas-2014-dyzelinas-30033767.html
BMW 525,2012-10,Universalas,8 700 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",277 500 km,Klaipėda,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2012-dyzelinas-29564083.html
BMW 525,2011-06,Sedanas,8 860 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",418 000 km,Kelmė,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2011-dyzelinas-29863444.html
BMW 525,2011-10,Universalas,9 000 €,Dyzelinas,Automatinė,"2.5 l., 150 kW",330 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-5-l-universalas-2011-dyzelinas-29965467.html
BMW 525,2011-10,Universalas,9 000 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",284 600 km,Alytus,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2011-dyzelinas-28684799.html
BMW 525,2010-05,Sedanas,9 200 €,Dyzelinas,Automatinė,"3.0 l., 150 kW",,Kaunas,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2010-dyzelinas-29758467.html
BMW 525,2009-08,Sedanas,9 200 €,Dyzelinas,Automatinė,"3.0 l., 145 kW",390 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-3-0-l-sedanas-2009-dyzelinas-30042465.html
BMW 525,2015-11,Universalas,9 900 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",210 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2015-dyzelinas-29889672.html
BMW 525,2015,Universalas,9 999 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",282 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2015-dyzelinas-29834038.html
BMW 525,2012-01,Sedanas,10 500 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",266 000 km,Šiauliai,https://autoplius.lt/skelbimai/bmw-525-2-0-l-sedanas-2012-dyzelinas-29760431.html
BMW 525,2013-04,Universalas,10 500 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",350 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2013-dyzelinas-29366052.html
BMW 525,2015-01,Sedanas,11 900 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",322 000 km,Šiauliai,https://autoplius.lt/skelbimai/bmw-525-2-0-l-sedanas-2015-dyzelinas-29538777.html
BMW 525,2015-10,Universalas,11 950 €,Dyzelinas,Automatinė,"2.0 l., 160 kW",270 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2015-dyzelinas-29834050.html
BMW 525,2015-03,Universalas,12 500 €,Dyzelinas,Automatinė,160 kW,235 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-525-universalas-2015-dyzelinas-29071207.html
BMW 525,2017-07,Universalas,15 600 €,Dyzelinas,Automatinė,"2.0 l., 170 kW",266 000 km,Raseiniai,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2017-dyzelinas-29806559.html
BMW 525,2017-09,Universalas,18 600 €,Dyzelinas,Automatinė,170 kW,260 km,Telšiai,https://autoplius.lt/skelbimai/bmw-525-universalas-2017-dyzelinas-28708153.html
BMW 525,2017-09,Universalas,22 700 €,Dyzelinas,Automatinė,"2.0 l., 155 kW",208 000 km,Elektrėnai,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2017-dyzelinas-29465222.html
