Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
BMW 114,2012-12,Hečbekas,4 900 €,Benzinas,Mechaninė,"1.6 l., 75 kW",217 884 km,Panevėžys,https://autoplius.lt/skelbimai/bmw-114-1-6-l-hecbekas-2012-benzinas-29795709.html
BMW 114,2012-11,Hečbekas,5 200 €,Benzinas,Mechaninė,"1.6 l., 75 kW",135 283 km,Marijampolė,https://autoplius.lt/skelbimai/bmw-114-1-6-l-hecbekas-2012-benzinas-30011383.html
BMW 114,2013-12,Hečbekas,5 600 €,Benzinas,Mechaninė,"1.6 l., 75 kW",165 603 km,Panevėžys,https://autoplius.lt/skelbimai/bmw-114-1-6-l-hecbekas-2013-benzinas-29867638.html
BMW 114,2014-09,Hečbekas,4 400 €,Benzinas,Mechaninė,"1.6 l., 75 kW",241 302 km,Vilnius,https://autoplius.lt/skelbimai/bmw-114-1-6-l-hecbekas-2014-benzinas-29051781.html
BMW 114,2015-09,Hečbekas,6 200 €,Dyzelinas,Mechaninė,"1.6 l., 70 kW",215 023 km,Klaipėda,https://autoplius.lt/skelbimai/bmw-114-1-6-l-hecbekas-2015-dyzelinas-29815605.html
