Pavadinimas,Metai,Kėbulo tipas,Kaina,Kuras,Pavarų dėžė,Variklis,Rida,Miestas,Nuoroda
BMW 520,1999-01,Sedanas,1 950 €,Benzinas,Mechaninė,"2.0 l., 110 kW",209 441 km,Marijampolė,https://autoplius.lt/skelbimai/bmw-520-2-0-l-sedanas-1999-benzinas-28760593.html
BMW 520,2003-09,Sedanas,1 998 €,Benzinas,Mechaninė,"2.2 l., 125 kW",261 000 km,Klaipėda,https://autoplius.lt/skelbimai/bmw-520-2-2-l-sedanas-2003-benzinas-29887384.html
BMW 520,1995,Universalas,1 900 €,Benzinas,Mechaninė,"2.0 l., 110 kW",300 000 km,Marijampolė,https://autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-1995-benzinas-29874262.html
BMW 520,2000-05,Sedanas,1 550 €,Dyzelinas,Mechaninė,"2.0 l., 100 kW",366 000 km,Klaipėda,https://autoplius.lt/skelbimai/bmw-520-2-0-l-sedanas-2000-dyzelinas-29487798.html
BMW 520,1982,Sedanas,2 000 €,Benzinas / dujos,Mechaninė,"2.0 l.,",123 456 km,Alytus,https://autoplius.lt/skelbimai/bmw-520-2-0-l-sedanas-1982-benzinas-dujos-30010351.html
BMW 520,2007-12,Sedanas,2 600 €,Dyzelinas,Mechaninė,"2.0 l., 130 kW",185 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-520-2-0-l-sedanas-2007-dyzelinas-29737989.html
BMW 520,2008-10,Sedanas,2 500 €,Dyzelinas,Mechaninė,"2.0 l., 130 kW",200 000 km,Joniškis,https://autoplius.lt/skelbimai/bmw-520-2-0-l-sedanas-2008-dyzelinas-29394826.html
BMW 520,2009-07,Universalas,2 990 €,Dyzelinas,Mechaninė,"2.0 l., 130 kW",320 000 km,Klaipėda,https://autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2009-dyzelinas-28255066.html
BMW 520,2011-05,Universalas,2 990 €,Dyzelinas,Automatinė,"2.0 l., 135 kW",340 000 km,Kaunas,https://autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2011-dyzelinas-29689961.html
BMW 520,2002-10,Sedanas,2 700 €,Benzinas / dujos,Mechaninė,"2.3 l., 125 kW",341 000 km,Širvintos,https://autoplius.lt/skelbimai/bmw-520-2-3-l-sedanas-2002-benzinas-dujos-29576395.html
BMW 520,2008-11,Universalas,2 500 €,Dyzelinas,Mechaninė,"2.0 l., 120 kW",347 000 km,Vilnius,https://autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2008-dyzelinas-30022729.html
BMW 520,2009-06,Universalas,2 640 €,Dyzelinas,Mechaninė,"2.0 l., 120 kW",381 117 km,Vilnius,https://autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2009-dyzelinas-28434384.html
