tema,pavadinimas,tekstas,url
sportas,Lietuvos dailiojo čiuožimo žvaigždė nusprendė atstovauti kitai šaliai,"Viena ryškiausių Lietuvos dailiojo čiuožimo atstovių Aleksandra Golovkina -Dolinskė pranešė nuo šiol atstovausianti Didžiajai Britanijai. Pasak 27-erių sportininkės šį sprendimą lėmė nesutarimai su Lietuvos dailiojo čiuožimo federacijos vadovais. Nuo šiol nebeatstovausiu Lietuvai - šiuo metu vyksta mano perėjimo procesas į Didžiosios Britanijos federaciją. 22 metus čiuožiau po Lietuvos vėliava ir visada tuo labai didžiavausi - man nuoširdžiai gaila, kad nebeatstovausiu savo šaliai. Šis šalies keitimas yra susiklosčiusios situacijos su Lietuvos čiuožimo federacija pasekmė. Mano ir federacijos požiūriai į mano tolimesnę karjerą išsiskyrė, - ilgą įrašą pradėjo sportininkė. Ji teigė, kad sprendimą lėmė federacijos sprendimas praėjusių metų vasarį nutraukti jos finansavimą. Tuo metu ji buvo traumuota, bet tarp Lietuvos pavienininkių fiksavo geriausius rezultatus ir buvo viena iš trijų kandidačių į šių metų Milano-Kortinos žiemos žaidynes. Vis tik čiuožėja teigė atsimušusi į federacijos vadovų nusiteikimą, kad jos karjera - nebeverta finansavimo. Delfi susisiekė su federacijos vadovu Vytautu Jasučiu, tačiau organizacijos poziciją ketinama pateikti po Lietuvos čiuožimo federacijos prezidento rinkimų, vyksiančių gegužės 13 d. Didžiąją Britaniją ji pasirinko neatsitiktinai - čia jau aštuonerius metu gyvena, treniruojasi ir dirba trenere.",https://www.delfi.lt/sportas/kitos-sporto-sakos/lietuvos-dailiojo-ciuozimo-zvaigzde-nusprende-atstovauti-kitai-saliai-120242721
sportas,"Jasikevičius – apie Sargiūną, (ne)pavojingas atostogas ir savo vaikų pilietybes","Šarūnas Jasikevičius tvirtina nusiteikęs šaltai, nors aplinkiniams nelengva patikėti, kad Eurolygos čempionų vairininko visai nejaudina akistata su ypatingu varžovu. 2019-aisiais Šaras atvedė Kauno Žalgirį į Stambulą ketvirtfinalio serijai su Željko Obradovičiumi. Kas tuomet būtų pagalvojęs, kad pats kaunietis vėliau savotiškai atsidurs savo mokytojo kailyje. Viena vertus, dabar jau pats Š. Jasikevičius treniruoja Fenerbahče ir laukia atvykstant Žalgirio. Papildoma potekstė - svečiai iš Kauno prisistatys su ilgamečiu Š. Jasikevičiaus asistentu priešakyje. Bet prieš krepšinio šachmatų partiją su Tomu Masiuliu geltonųjų strategas bando griežtai kontroliuoti jausmus. Ši serija ypatinga tuo, kad visus šitus dalykus reikia pastumti į šoną ir daryti savo darbą. Turiu pasakyti, kad žiūriu į tai netgi šaltai. Daug šnekų apie nieką, o darbas yra darbas, ir kas jį padarys geriau, tiems ir bus geriau. Dėmesio, emocijų, visko daugiau, bet esmė nesikeičia, - pirmųjų rungtynių išvakarėse kalbėjo Š. Jasikevičius. Kaip Žalgiris reguliaraus sezono pabaigoje stryktelėjo aukštyn, taip titulą ginantys čempionai nudardėjo nuo turnyro lentelės viršūnės per keletą pakopų. Kelią iš traumų minų lauko turkai jau rado - pirmadienį Ulker Sports arenoje treniravosi visa pagrindinė sudėtis. Dabar reikia susigrąžinti ir kelis mėnesius Eurolygoje tempą diktavusį žaidimo ritmą. Priežasčių, niuansų buvo daug, bet prieš šią seriją turėjome laiko pailsėti, pasiruošti. Prieš tai penkias savaites iš eilės keliavome, manau, tai irgi buvo vienas blogo periodo faktorių. Tikime savo komanda, žinome, ką galime. Ateina laikas tai parodyti, žiūrėsime, ar pavyks. Tiek ir naudos iš tos patirties, jei neperkeli jos į aikštę. Aišku, varžovas - tikrai stiprus, - komentavo Š. Jasikevičius. Praėjusį mėnesį 50-metį šventęs specialistas pasidalino nerimu dėl dviejų savo atžalų ateities, papasakojo, kaip ilsėjosi Irano apšaudytame Dubajuje, įvertino ir gandų į Stambulą genamą dar vieną lietuvį. - Ar reikia naktimis nemiegoti laužant galvą, kokiu ėjimu būtų galima įgnybti taip gerai pažįstamam oponentui? - Delfi paklausė Š. Jasikevičiaus - Taip, variantų yra, vis dėlto dviračio per tiek laiko neišrasi. Pagalvoti reikia, prisitaikyti, bet visuma lieka, ir galiausiai rezultatą lemia pora nesustabdytų greitų atakų, pora neatsitvertų varžovų, pora laiku nepadarytų pražangų. Žiūri, kad iš to jau susideda dešimt taškų, o tiek per atkrintamąsias varžybas nebeatloši . - Apsidžiaugėte įvertinimu, kurio susilaukė T. Masiulis, užėmęs antrą vietą geriausio Eurolygos reguliaraus sezono trenerio rinkimuose? - Faktas, kad labai smagu. Draugams norisi kuo geriausios kloties. Prieš sezoną daug kas dvejojo dėl Tomo, bet aš - ne. Jo komanda tikrai labai gerai suburta: lygi, universali sudėtis. Kai pagalvoji, kiekvienas žaidėjas vis kažkuo skirtingas, o universalumas šiuolaikiniame krepšinyje lemia labai daug. - Kalbant apie trenerius, kaip vertinate Dubai sprendimą atleisti vyriausiąjį trenerį Juricą Golemacą likus turui iki reguliaraus sezono pabaigos? - Visų pirma, labai skaudu, jis - geras mano draugas. Draugaujame jau labai seniai, ir šiemet man viešint Dubajuje praleidome kartu daug laiko. Iš kitos pusės, gal labai daug kalbėti šia tema nereikėtų. - Patiko atostogos Dubajuje, kurios netikėtai užsitęsė dėl prasidėjusio Irano bombardavimo? - Patiko, užsitęsė tik diena. Norėjau ilgiau ten likti, nes nieko baisaus aš ten nemačiau. Nenoriu pasirodyti kažkoks visai šaltas, mačiau ir kitokių vaizdų internete. O aš gulėjau paplūdimyje ir viskas man buvo gerai. - O kalbant apie tuos, kurie paplūdimyje negulėjo, Mantas Kalnietis sekmadienį nubėgo pirmą savo maratoną. Gal ir jūs kada nors bandysite? - Na, jis dešimt metų jaunesnis... Susirašėme vakar, jo rezultatas - įspūdingas. Vau, niekada gyvenime nebūčiau pagalvojęs, kad Kalnas bėgs maratonus. Užsispyręs, įdomu, kas jį paskatino, turbūt buvo rimtos lažybos. - Apskritai sekate, kas vyksta Lietuvoje? - Skaitau lietuvišką spaudą kiekvieną dieną, kaip ir Ispanijos - daugiau ar mažiau. - Perskaitėte naujienų apie Igną Sargiūną? - Perskaičiau... Daug gandų. Kuo jis trauktų akį? Manau, jis yra alkanas, nori eiti į priekį. Nuo Žalgirio laikų man jis visada patiko, ateidavo į treniruotes iš dublerių komandos ir varžydavosi su veteranais. Jis nepaiso autoritetų, manau, tinka Eurolygai. Žiūrėsime, ar tikrai galėsime kartu dirbti kitais metais. - Alvydui Pazdrazdžiui neseniai nutiko kaip jūsų bičiuliui Žydrūnui Ilgauskui, įgijusiam JAV pilietybę ir kartu praradusiam lietuvišką pasą. Ką apie tai galvojate? - Turbūt mūsų pasaulyje tiek daug, kad galime sau leisti... Jeigu valstybė galvoja, kad tai normalu, turbūt nesame patys protingiausi... Nors yra ir visokių išimčių. Pats dėl to labai išgyvenu, nes mano vaikai sulauks pilnametystės, reikės apsispręsti. Ar apie tai su jais jau kalbėjau? Taip, bet viena - kalbėtis su 14-mečiu, kita - įstatymai. Manau, kad mes labai klystame atimdami pilietybes iš tikrų lietuvių. Primename, kad reguliariajame sezone Žalgiris užėmė penktą vietą - aukščiausią nuo 2016-2017 metų, kai pradėta žaisti pagal dabartinį formatą. Pergale daugiau pasiekusi Fenerbahče finišavo laipteliu aukščiau. Tarpusavio susitikimus abukart laimėjo kauniečiai. Pirmos dvi ketvirtfinalio serijos iki trijų pergalių rungtynės Stambule vyks antradienį ir ketvirtadienį. Į Kauną kova kelsis gegužės 6 d. Žalgiris per pastarąjį dešimtmetį ketvirtfinalio etapą pasiekė trečią sykį, peržengti finalo ketverto slenkstį pavyko tik 2018-aisiais, kai komandą dar treniravo Š. Jasikevičius.",https://www.delfi.lt/krepsinis/naujienos/jasikevicius-apie-sargiuna-ne-pavojingas-atostogas-ir-savo-vaiku-pilietybes-120242346
sportas,Tomas Masiulis prieš Šarūną Jasikevičių: ką žinai apie juos?,"Kauno Žalgiris kitą savaitę pradės Eurolygos ketvirtfinalio balatalijas, kuriose mes iššūkį Šarūno Jasikevičiaus treniruojamai Stambulo Fenerbahče . Prieš jas Delfi kviečia išbandyti savo jėgas teste apie šių komandų trenerius. Žalgiriečiai reguliarųjį sezoną baigė rekordiškai aukštoje penktoje vietoje, o tuo metu Fenerbahče didelę sezono atkarpą pirmavo turnyre, bet traumos ir kritusi forma nuleido Eurolygos čempionę net iki ketvirtosios vietos. Prieš intriguojančią seriją kviečiame išbandyti jėgas teste apie komandu strategus - Tomą Masiulį ir Šarūną Jasikevičių. Eurolygos ketvirtfinalio serija bus žaidžiama iki trijų pergalių. Reguliariajame sezone ketvirtą vietą užėmę Fenerbahče krepšininkai pirmąsias dvejas serijos rungtynes žais namų aikštelėje - balandžio 28 ir 30 dienomis. Į Žalgirio areną Eurolygos atkrintamosios varžybos atkeliaus trečiosioms serijos rungtynėms, kurios bus žaidžiamos gegužės 5 arba 6 dieną.",https://www.delfi.lt/krepsinis/naujienos/tomas-masiulis-pries-saruna-jasikeviciu-ka-zinai-apie-juos-120240002
sportas,"Įvardijo priežastis, kodėl „Žalgiris“ yra favoritas patekti į finalo ketvertą","Kauno Žalgiris pradeda svarbiausias sezono kovas Eurolygoje, o prieš jas buvo įvardyti kauniečių pranašumai, kurie gali atverti Lietuvos ekipai duris į finalo ketvertą. Tomo Masiulio kompanija antradienį pradeda Eurolygos ketvirtfinalio seriją, kurioje susitinka su Šarūno Jasikevičiaus treniruojama Stambulo Fenerbahče. Žalgiriečiai pirmuosius du mačus sužais išvykoje (balandžio 28 ir 30 dienomis), o kitą savaitę veiksmas kelsis į Kauną. Žalgirio ir Fenerbahče serija neabejotinai yra viena įdomiausių atkrintamosiose, o favorito statusu suabejoti spėjo ne vienas. Štai Belgrado Crvena Zvezda lyderis Chima Moneke net regi kauniečių pergalę serijoje rezultatu 3:2. Palankia prognoze Kauno komandai pasidalino ir sporto žurnalistas Gustavas Klikna. Aš prognozuoju pergalę Žalgiriui, kuris į seriją ateina su žymiai geresne sportine forma, gilesne sudėtimi. Vėlgi, turime labai gerą tritaškių pataikymą. Akivaizdu, kad Šarūnas Jasikevičius bandys dvigubinti Sylvainą Francisco, todėl tritaškių faktorius bus labai svarbus, - Delfi laidoje 7 krepšinio zonos kalbėjo G. Klikna.",https://www.delfi.lt/krepsinis/naujienos/ivardijo-priezastis-kodel-zalgiris-yra-favoritas-patekti-i-finalo-ketverta-120242442
sportas,Eurolygos blogiukas rado bendrą kalbą su Šaru: pas jį nėra pilkų atspalvių,"Wade'as Baldwinas tebėra ambicinga asmenybė - pavyzdžiui, nedvejodamas priskiria save geriausių Eurolygos gynėjų trejetui. Bet Šarūnui Jasikevičiui pavyko nukreipti aikštingo Stambulo Fenerbahče įžaidėjo talentus naudinga linkme. W. Baldwinas nė nemėgina slėptis po įprasto mandagumo skraiste. Nors išreiškė pagarbą Kauno Žalgiriui, vienas Eurolygos laurus ginančios Turkijos ekipos lyderių pirmadienį Delfi tiesiai šviesiai įvardino, kokios ketvirtfinalio baigties laukia.",https://www.delfi.lt/krepsinis/naujienos/eurolygos-blogiukas-rado-bendra-kalba-su-saru-pas-ji-nera-pilku-atspalviu-120242658
sportas,Po pertraukos aukštesnę pavarą įjungęs „Rytas“ saldžiai revanšavosi šiauliečiams,"Galingą trečią puolimo kėlinį sužaidęs Vilniaus Rytas (18-10) įsirašė svarbią pergalę Lietuvos krepšinio lygoje ( LKL ), kurią remia Betsson. Giedriaus Žibėno auklėtiniai namie 102:72 (22:22, 19:18, 32:14, 29:18) įveikė Šiaulius (15-13). Iki šiol dvi tarpusavio akistatas laimėję buvo vilniečiai, vieną pastarąją - šiauliečiai. Rytas taip padidino atotrūkį nuo trečioje vietoje esančio Klaipėdos Neptūno (16-11), o šiauliečiai turi jau dviem pralaimėjimais daugiau nei pastarieji. Ryto komanda pradėjo kiek geriau (16:8), o puolime aktyvus buvo Martynas Echodas. Vis tik Vaidas Kariniauskas pataikė iš toli, Danielis Baslykas - taip pat, o po dviejų Selimo Fofanos atakų rezultatas tapo lygus - 18:18. Lygiai baigėsi ir atkaklus pirmas ketvirtis - 22:22 Šiauliečiai pabandė čiupti iniciatyvą į savo rankas (28:26), bet Ignas Sargiūnas su Simu Lukošiumi persvėrė rezultatą vilniečių naudai - 34:33. Po atkarpos 7:2 Šiauliai vėl ėmė pirmauti, bet trapų pranašumą po pirmos mačo dalies turėjo šeimininkai - 41:40. Dayvionas McKnightas per du kėlinius buvo pelnęs 13 taškų, o du svarbūs vilniečių gynėjai - Augustas Marčiulionis ir Jerrickas Hardingas - žaidė neefektyviai (turėjo -4 ir -3 naudingumo balus). Po pertraukos Rytas įjungė aukštesnę pavarą: I.Sargiūnas smeigė du tritaškius, vėliau pridėjo dar du taškus, o į tritaškių vakarėlį įsijungė Kay'us Bruhnke - 53:46. Skirtumas po truputį pasiekė dviženklę atžymą (60:48), o šiauliečius baudė ir Augusto Marčiulionio tritaškis - 64:51. Puolime kukliau atrodę svečiai po trijų ketvirčių atsiliko 54:73. Savo dominavimą vilniečiai pratęsė, neleido svečiams net pagalvoti apie intrigos grąžinimą (84:59) ir mačą laimėjo tvirtai. Cedricas Hendersonas buvo sustabdytas ir žaidė blogiausią savo sezono mačą LKL, kurią remia Betsson. Pelnė 3 taškus (1/7 metimai), rinko -3 naudingumo balus. Šiauliai neturėjo Cassiuso Stanley, kuris susižeidė koją savaitgalio mače, taip pat - Mariaus Valinsko. Rytas verčiasi be Jordano Caroline'o. Rytas: Ignas Sargiūnas ir Martynas Echodas - po 14, Augustas Marčiulionis, Simas Lukošius ir Jerrickas Hardingas - po 13, Artūras Gudaitis 12 (6 atk. kam.). Šiauliai: Dayvionas McKnightas 19, Stefanas Simaničius 13 (9 atk. kam., 23 n.b.), Selimas Fofana 10, Danielis Baslykas 8.",https://www.delfi.lt/krepsinis/naujienos/po-pertraukos-aukstesne-pavara-ijunges-rytas-sutriuskino-siauliecius-120242719
sportas,Šokas „Panathinaikos“ gretose: Sloukas praleis visą ketvirtfinalio seriją,"Atėnų Panathinaikos Eurolygos ketvirtfinalio serijoje su Valencia bus priversta kautis be veterano Kosto Slouko. Skelbiama, kad 36-erių gynėjas treniruotės metu patyrė kelio traumą - plyšio išorinis meniskas, graikui bus atlikta operacija. Jau dabar aišku, kad jis negalės žaisti visos serijos metu, kurios metu bus kovojama iki trijų pergalių. K. Sloukas yra ketvirtas pagal naudingumą (12,6) PAO žaidėjas ir pirmas pagal išskirstomus rezultatyvius perdavimus (5,1). Veteranas taip pat prideda po 9,6 taško per 21 minutę. Reguliariame sezone jis sužaidė visus 38 mačus. Pirmi du serijos mačai vyks Valensijoje, vėliau komandos kelsis į Atėnus.",https://www.delfi.lt/krepsinis/naujienos/sokas-panathinaikos-gretose-sloukas-praleis-visa-ketvirtfinalio-serija-120242625
sportas,Skaudi netektis: mirė ilgametis krepšinio treneris Arūnas Juknevičius,"Vytauto Didžiojo universiteto (VDU) bendruomenė liūdi šiandien po sunkios ligos netekusi ilgamečio VDU vaikinų krepšinio komandos trenerio Arūno Juknevičiaus. A. Juknevičius gimė 1966 m. balandžio 6 d. 1987 m. baigė mokslus Lietuvos kūno kultūros institute (dabartiniame Lietuvos sporto universitete) ir tais pačiais metais pradėjo dirbti kūno kultūros dėstytoju Kauno technologijos universitete, vėliau - kūno kultūros mokytoju Kauno Saulės gimnazijoje. 1992 m. tapo Arvydo Sabonio krepšinio mokyklos (nuo 2010 m. - Arvydo Sabonio krepšinio centras) treneriu ir čia dirbo iki 1999 m. Ketverius metus, 1994-1998 m., treniravo Lietuvos vaikinų (gimusių 1981 m.) rinktinę. VDU krepšininkus treniravo nuo 1999 m. Per daugiau nei 20 metų darbo patirtį A. Juknevičiaus vadovaujamos VDU studentų komandos 9 kartus tapo Europos studentų čempionėmis ir net 20 sykių laimėjo Lietuvos studentų krepšinio lygos (LSKL) pirmenybes. Tituluočiausias šalies studentų krepšinio treneris ne tik iškovojo daugiau nei 100 medalių, bet ir prisidėjo prie žymių Lietuvos žaidėjų ugdymo. A. Juknevičiaus vadovaujamose komandose rungtyniavo tokie Lietuvos rinktinės ar Lietuvos krepšinio lygos žaidėjai kaip Paulius Jankūnas, Mindaugas Kuzminskas, Jonas Mačiulis, Mantas Kalnietis, Edgaras Ulanovas, Lukas Lekavičius, Adas Juškevičius, Žygimantas Janavičius, Rokas Jokubaitis ir daugelis kitų VDU studentų krepšininkų. Arūnas buvo svarbi, neatsiejama krepšinio bendruomenės dalis. Mūsų bendras kelias krepšinyje prasidėjo nuo jo darbo Arvydo Sabonio krepšinio mokykloje, tęsėsi skirtingose šalies rinktinėse ir, ilgą laiką, VDU. Tiems, kuriuos Arūnas treniravo, jis buvo ne tik treneris, bet draugas, tėvas, mokytojas. Jis visada darydavo tai, kas geriausia komandai. Kas geriausia visiems, esantiems aplink jį, - apie Arūną Juknevičių atsiliepė krepšininkas, buvęs Eurolygos vadovas Paulius Motiejūnas. Pats A. Juknevičius yra teigęs, kad jam visi auklėtiniai kaip vaikai. Myliu visus krepšininkus. Aišku, įstrigo M. Kuzminskas ar M. Kalnietis, kurie veržėsi į aikštelę, nes tuo metu Žalgiryje gaudavo mažai žaidybinio laiko. Sakydavo, treneri, tik nekeiskite, aš nepavargsiu. Jeigu užsitęsdavo Žalgirio treniruotė, o mums reikėdavo išvažiuoti į Klaipėdą, žaidėjai patys savo transportu skubėdavo į rungtynes. Skubėdavo ir spėdavo. Smagu prisiminti, - dar 2020 m. kalbėjo treneris A. Juknevičius. Dar pernai A. Juknevičiaus vadovaujama VDU komanda triumfavo Europos studentų čempionate, dvidešimtą kartą iš viso ir dešimtą kartą iš eilės tapo LSKL čempione, o Regionų krepšinio lygoje (RKL) nužingsniavo iki finalo ketverto, po kurio buvo pripažinta lygos Metų proveržiu. Šį mėnesį asociacijos Lietuvos krepšinis prezidentas Mindaugas Balčiūnas 60-mečio proga Arūnui Juknevičiui įteikė aukščiausią šalies krepšinio apdovanojimą - Garbės medalį Už nuopelnus Lietuvos krepšiniui. Paklaustas, kas nulėmė, jog krepšinis tapo didele gyvenimo dalimi, 2023 m. interviu A. Juknevičius atsakė, kad krepšinis jį lydėjo kiekvieną dieną nuo pat vaikystės. Užaugau tokioje vietoje, kur šalia buvo Žalgirio aikštynas, LSU, Kauno sporto halė. Kasdien matydavai tą krepšinį, treniruotes ir varžybas, o ir patys vaikai žaisdavom. Gyvenome krepšiniu. Tuo metu vyko ir Žalgirio ir Maskvos CSKA mačai, tai nesirenkant įtraukė. Tuo metu visa Lietuva gyveno krepšiniu, tai ir mes, paaugliai, - kalbėjo A. Juknevičius. Pasak VDU administracijos direktoriaus Jono Okunio, trenerio A. Juknevičiaus užburianti ramybė visada vedė Vytauto Didžiojo universitetą į skambiausias pergales. Atmintyje išliks jo šypsena į klausimą Ar laimėsime?, visada atsakant tyliai ir paprastai - Matysim, tarsi paliekant vietą darbui, o ne žodžiams. Būtent Arūno nuoširdus, atkaklus darbas atvedė VDU krepšinio komandas į tokią daugybę pergalių, užaugino tiek puikių krepšininkų, - apie trenerį kalbėjo VDU administracijos direktorius J. Okunis.",https://www.delfi.lt/krepsinis/naujienos/skaudi-netektis-mire-ilgametis-krepsinio-treneris-arunas-juknevicius-120242518
sportas,Žvilgsnis į istorinį „Žalgirio“ vakarą: Sabas rūbinėje ir slaptas Francisco kelias iš arenos,"Kauno Žalgirio krepšininkai pirmą kartą klubo istorijoje užėmė penktąją vietą Eurolygos reguliariajame sezone, o šis pasiekimas žalgiriečiams ketvirtfinalio serijoje atnešė filmo scenarijaus vertą varžovą - Šarūno Jasikevičiaus vadovaujamą Stambulo Fenerbahče komandą. Belaukiant atkrintamųjų, Žalgiris Insider kviečia prisiminti paskutiniąsias reguliariojo sezono rungtynes su Paris Basketball ir išvysti dar neregėtus kadrus iš komandos rūbinės, kurių įkarštyje Sylvaino Francisco, Moseso Wrighto ir kitų žalgiriečių mintys apie laukiančią seriją. Šis video - dokumentikos apie iškovotą bilietą į atkrintamąsias dalis, o Žalgiris Insider narių lauks atskira dokumentikos serija apie komandos kelionę į Stambulą, visas ketvirtfinalio kovas ir jų užkulisius. Aš galvojau, kad aš praleisiu šį momentą. Kad komanda pateks į atkrintamąsias, bet aš nebūsiu prie to prisidėjęs. Tai man čia buvo didžiausias liūdesys tuo metu. Atsukus laiką atgal, kai pagalvoji, tai tuo metu tikėjaisi kaip geriausio scenarijaus tokio, o dabar tai yra realybė, prie kurios dar ir prisidėjau, tad tikrai velniškai smagu, - savo mintis po patirtos pėdos traumos prisiminė Arnas Butkevičius. Po mačo su Paris Basketball žalgiriečių rūbinėje apsilankė ir Arvydas Sabonis. Savo ruožtu M.Wrightas juokavo apie tai, kad Žalgiris ir Fenerbahče žaidžia kone identišką krepšinį, o S.Francisco prognozavo pirmąjį ir antrąjį simbolinius Eurolygos penketukus. Galiausiai S.Francisco sutiko ir Žalgirio sporto direktorių Gediminą Navicką, kuris su prancūzu reflektavo apie visą nueitą kelią. Mes labai tavimi didžiuojamės. Prižadėjau tau, kad kovosime dėl aukščiausių vietų - šiuo metu taip ir yra. Labai dėl tavęs džiaugiuosi - visas klubas ir tu einame viena kryptimi. Tai geriausias Žalgirio reguliariojo sezono pasiekimas. Netikiu, kad pasaulis yra tobulas, tačiau mūsų sąjunga su tavimi yra labai arti tobulybės - labai tai vertinu, - kalbėjo G.Navickas. Kviečiame išvysti visus į Žalgirio istoriją nugulsiančio vakaro užkulisius bei S.Francisco slaptą kelią iš arenos. Atkrintamųjų seriją žalgiriečiai pradės jau antradienį Stambule, o trečiosios serijos rungtynės Kaune bus žaidžiamos gegužės 6 d.",https://www.delfi.lt/krepsinis/naujienos/zvilgsnis-i-istorini-zalgirio-vakara-sabas-rubineje-ir-slaptas-francisco-kelias-is-arenos-120242683
sportas,"Panevėžietis pripažintas kaltu dėl futbolo sirgaliaus nužudymo, skirta laisvės atėmimo bausmė","Panevėžio apygardos teismas pirmadienį panevėžietį Ernestą Mečkauską pripažino kaltu dėl Lenkijos futbolo sirgaliaus nužudymo 2024 m. liepą. Nuteistajam teismas skyrė 7 metų laisvės atėmimo bausmę. Kaip nurodė teismo sprendimą paskelbusi Panevėžio apygardos teismo teisėja Jolanta Raščiuvienė, nuteistajam į laisvės atėmimo bausmės laiką bus įskaityta viena para, išbūta laikinajame sulaikyme. Teismas taip pat iš dalies tenkino tris civilinius ieškinius byloje dėl neturtinės žalos - 35 tūkst., 15 tūkst. ir 30 tūkst. eurų dydžio. Šios sumos kartu su joms taikomomis 5 proc. palūkanomis priteistos iš nuteistojo E. Mečkausko. Šiuos ieškinius byloje buvo pateikę nužudyto Lenkijos piliečio artimieji. Bylos duomenimis, tragiškas įvykis nutiko 2024 m. liepos 23 d. Panevėžyje. Pasibaigus futbolo rungtynėms tarp Balstogės komandos Jagiellonia (Lenkija) ir vietos Panevėžio, agresyviai nusiteikęs 39-erių Lenkijos futbolo sirgalius susistumdė su E. Mečkausku, su kuriuo buvo ir kitas asmuo. Pastarasis smogė kumščiu nukentėjusiajam į žandikaulį, šis po smūgio krito ant betoninių trinkelių. Anot teisėsaugos, palikę nugriuvusį vyrą, panevėžiečiai sėdo į savo automobilį ir išvažiavo. Užsieniečiui greitosios medikus iškvietė užeigos darbuotojos. Nukentėjusysis buvo nuvežtas į Panevėžio ligoninę, tačiau nespėjus jo apžiūrėti medikams, pasišalino. Vėliau policijos patruliai pastebėjo jį autobusų stotelėje ir dėl akivaizdžių veido sumušimo požymių nugabeno į ligoninę. Nustačius galvos traumą, jam buvo atlikta operacija, tačiau po trijų savaičių vyras mirė. E. Mečkauskas policijos buvo surastas ir sulaikytas jau kitą dieną po incidento su užsieniečiu. Vyras prisipažino, kad trenkė nepažįstamajam, bijodamas pats nuo jo nukentėti. Vyras pripažino, kad užsieniečiui nugriuvus, jis su bičiuliu pasišalino, baimindamiesi kitų Lenkijos sirgalių užpuolimo. Nukentėjusiajam ligoninėje mirus, ikiteisminis tyrimas buvo perkvalifikuotas į nužudymą. Panevėžio apygardos teismo sprendimas dar neįsigaliojo, jis gali būti skundžiamas apeliacine tvarka.",https://www.delfi.lt/sportas/futbolas/panevezietis-pripazintas-kaltu-del-futbolo-sirgaliaus-nuzudymo-skirta-laisves-atemimo-bausme-120242509
